,0
firstbank,503
account,93
first,65
transfer,60
app,58
new,58
please,56
bank,54
money,50
firstmobile,50
try,46
firstmobile app,46
app firstbank,45
try new,44
new firstmobile,44
africa,42
sub,41
payment,41
global,40
first global,39
global transfer,39
border payment,38
border,38
cross border,36
payment sub,36
god,36
post,36
cross,36
sub sahara,34
promotes,34
promotes cross,34
sahara africa,34
sahara,34
bless,33
firstbank promotes,32
africa first,32
growth,31
post covid,31
covid,31
technology,30
nigeria,28
key,27
ceo,27
god bless,26
ceo list,26
list,26
capacity,25
capacity key,25
help,25
firstbank ceo,25
technology capacity,24
kindly,24
list technology,24
thanks,24
number,24
key post,23
covid growth,23
youfirst,22
hello,22
service,21
go,21
branch,21
thank,21
get,19
day,19
bos,18
need,18
yet,17
ettah,17
ettah ezare,17
ben,17
pls,17
ezare,17
first bank,17
ezare ben,17
ben firstbank,17
via,16
sir,16
banking,16
firstbank branch,16
woman,16
account number,15
time,15
transaction,15
customer,14
firstbank account,14
one,14
dm,14
card,14
good,13
today,13
visit,13
job,13
guy,12
people,11
done,11
issue,11
made,11
fund,11
alert,11
make,11
firstbank nigeria,11
firstbank thanks,11
use,11
since,11
month,11
may,10
send,10
till,10
group,10
plc,10
still,10
see,10
debited,10
firstbank please,10
acct,10
better,9
banking group,9
amount,9
na,9
bank nigeria,9
private banking,9
sent,9
phone,9
want,9
private,9
experience,9
firstbank god,9
check,9
morning,8
oo,8
name,8
put,8
give,8
constitute nuisance,8
nigeria limited,8
nuisance,8
limited,8
received,8
change,8
even,8
constitute,8
hope,8
really,8
person,8
please help,8
visit firstbank,8
hour,8
ur,8
reply,7
call,7
wealth,7
anything,7
management,7
work,7
hello kindly,7
ussd,7
mtn,7
back,7
firstbank thank,7
long,7
place,7
charge,7
wealth management,7
mobile,7
token,7
launch,7
win,7
know,7
detail,7
woman month,6
head,6
going,6
valid,6
apology,6
standard,6
reverse,6
th,6
iphone,6
register,6
receive,6
using,6
never,6
promote,6
fill,6
inside,6
week,6
advised,6
id,6
let,6
emmanuel,6
say,6
adeduntan,6
like,6
phone number,6
ibadan,6
blessing,6
number firstbank,6
got,6
lucky,6
transfer firstbank,6
caused,5
chance,5
request,5
team,5
reward,5
said,5
reason,5
plc job,5
stand chance,5
abeg,5
old,5
stand,5
solve,5
business,5
sub saharan,5
capability,5
project,5
covid firstbank,5
passport,5
saharan africa,5
credit,5
credited,5
saharan,5
bill,5
love,5
center,5
launch first,5
job post,5
firstbank hiring,5
would,5
getting,5
financial,5
amp,5
fill job,5
fgt promote,5
fgt,5
lagos,5
kindly visit,5
failed transaction,5
failed,5
job firstbank,5
limited firstbank,5
inconvenience caused,5
inconvenience,5
donate,5
airtime,5
group plc,5
uba,5
bank first,5
gt,5
hiring fill,5
hiring,5
due,5
una,5
yes,5
hello apology,5
yesterday,5
follow,5
mean,5
foundation,5
money firstbank,5
debit,5
apologize inconvenience,5
apologize,5
firstbank standard,5
anything firstbank,5
deducted,5
loan,5
firstbank plc,5
frustrating,5
forestall occurrence,4
reported,4
go inside,4
provider,4
happening,4
foundation account,4
group position,4
problem,4
reported countless,4
gtbank,4
effort,4
put place,4
effort put,4
following,4
engage,4
friday,4
reply solve,4
check dm,4
get angry,4
charitable,4
change must,4
happy,4
firstbank pls,4
reiterating,4
faith,4
reiterating commitment,4
reach,4
experience firstbank,4
everyone,4
every,4
evening,4
firstbank leverage,4
foundationalawn,4
cheque,4
naira,4
drop,4
head hub,4
debited failed,4
leading,4
leading financial,4
leverage,4
leverage technology,4
life,4
nuisance debited,4
line,4
countless,4
countless time,4
response,4
nigeria largest,4
making,4
position situated,4
manager,4
marchforwomen,4
matter,4
day reported,4
mom,4
money account,4
date,4
money back,4
mtn service,4
must,4
must get,4
nuisance reply,4
lead wealth,4
lead,4
occurrence,4
position,4
hello thank,4
plc via,4
platform,4
place forestall,4
drive growth,4
pick,4
commitment,4
commitment serve,4
drive,4
hub,4
donate token,4
paypal foundationalawn,4
paypal,4
inside firstbank,4
interested,4
interested applicant,4
complain,4
ought,4
joseph,4
kindly donate,4
largest,4
occurrence apologize,4
come,4
forestall,4
support,4
solve issue,4
update,4
school,4
see change,4
capability drive,4
standard effort,4
account firstbank,4
better youfirst,4
take,4
serve,4
song,4
serve better,4
service center,4
al,4
someone,4
al awn,4
angry constitute,4
unfreeze,4
team lead,4
technology capability,4
apology experience,4
applicant,4
applicant ought,4
without,4
assistance,4
tell,4
sir firstbank,4
bvn,4
situated,4
working,4
awn,4
account al,4
awn foundation,4
angry,4
thumb,4
branch abeokuta,4
token account,4
caused reiterating,4
time yet,4
acc,4
utility,4
transaction day,4
statement,4
amen,4
via paypal,4
abeokuta,4
abeokuta constitute,4
utility bill,4
yet see,4
high,3
customer value,3
customer service,3
good morning,3
usually,3
good day,3
darlinton akwunabuoye,3
darlinton,3
gone,3
easy,3
bank firstbank,3
holder,3
bank app,3
nearest,3
bad,3
terungwa,3
aza,3
much,3
branch valid,3
unfreeze account,3
believe,3
gtb,3
upon,3
bless bos,3
akwunabuoye,3
subsidiary sub,3
nigeria premier,3
happy firstbank,3
harcourt,3
growth thumb,3
new phone,3
terungwa emmanuel,3
growth adeduntan,3
bilikis firstbank,3
bilikis,3
subsidiary,3
switch,3
blocked,3
email,3
network,3
akwunabuoye firstbank,3
user,3
transfer made,3
stressed,3
need money,3
successful,3
zeya happy,3
assistance youfirst,3
home,3
left,3
look,3
inclusion service,3
deduction,3
info,3
announced launch,3
announced,3
innovation,3
dm firstbank,3
thing,3
also,3
like firstbank,3
tried,3
thumb mobile,3
tiliwini,3
dj,3
inclusion,3
international,3
international transfer,3
interview,3
